측정점(g),분동호칭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.001,1 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.002,2 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.003,2 mg,1 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.004,2 mg,2 mg´,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.005,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,10 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.015,10 mg,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.02,20 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.025,20 mg,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03,20 mg,10 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.035,20 mg,10 mg,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.04,20 mg,20 mg´,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.045,20 mg,20 mg´,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.05,50 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.055,50 mg,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.06,50 mg,10 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.065,50 mg,10 mg,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.07,50 mg,20 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.075,50 mg,20 mg,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.08,50 mg,20 mg,10 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.085,50 mg,20 mg,10 mg,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,
0.09,50 mg,20 mg,20 mg´,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.095,50 mg,20 mg,20 mg´,5 mg,,,,,,,,,,,,,,,,,,,,,,,,,,
0.1,100 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.15,100 mg,50 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.2,200 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
